,Central Banks,Month &,Year,Status,Timeline Description,Name of the CBDC,Type,Structure,Technology Provider,Programmability,Interoperability,Governance structure,Centralized / decentralized,DLT / non-DLT,Technology,Main motivation/goals of the CBDC,Remuneration,International access,Caps/Limits,CBDC emission amount,Offline payments,Anonymity/Privacy,Distribution,Link to announcement,Link to whitepaper,Link to site of project,Links to social networks,Description,Announcement Year,Keywords
Curacao,Central Bank of Curacao and Sint Maarten,April,2018,Research,In 2018 the CBCS signed a Memorandum of Understanding with a regional Fintech company to conduct a feasibility study on issuing a digital currency to facilitate digital financial payments within the monetary union of Curacao and Sint Maarten.,,Retail,Token,Bitt Inc.,,,,,,,,,,,,,,,,,,,,2018,
Czech Republic,Czech National Bank,February,2021,Research,The central bank published an article on CBDC and it's interest in this topic,,Retail,,,,,,,,,,,,,,,,,https://www.cnb.cz/cs/verejnost/servis-pro-media/autorske-clanky-rozhovory-s-predstaviteli-cnb/Digitalni-mena-garantovana-CNB-budoucnost-koruny/,,,,,2021,
Denmark,Nationalbanken,March,2023,Cancelled,"National Bank of Denmark (DNB) Governor Signe Krogstrup argued that the decline in the use of cash in Denmark does not necessarily justify the issuance of a retail CBDC. The decline in cash per se is a substantial risk to monetary and financial stability and doesn’t reflect the sort of erosion of trust that would warrant a retail CBDC. He argued that commercial banks still have to hold central bank reserves, so central bank money is still at the core of the financial system.",E-kroner,Retail,Account/Token,,,,,,,,The Nationalbanken confirms that there is no need for a retail CBDC in Denmark as commercial banks continue to offer their services. The decline of cash usage does not lead to a substantial risk of financial stability.,,,,,,,,https://www.nationalbanken.dk/en/pressroom/speeches/Pages/2023/Governor-Signe-Krogstrups-speech-at-Danmarks-Nationalbanks-conference-New-types-of-digital-money.aspx,,,,,,
Denmark,Nationalbanken,February,2022,Research,Danish central bank has commenced research on wholesale CBDC,,Wholesale,,,,,,,,,,,,,,,,,Expert opinion through LinkedIn,,,,Research started for wCBDC,2022,
Denmark,Nationalbanken,December,2017,Cancelled,,E-kroner,Retail,Account/Token,,,,,,,,A CBDC solution would not improve the current financial infrastructure of Denmark and that offering an e-krone would essentially make the DN compete with commercial banks.,,,,,,,,http://www.nationalbanken.dk/en/publications/Documents/2017/12/Analysis%20-%20Central%20bank%20digital%20currency%20in%20Denmark.pdf,,,,"The Central Bank of Denmark explored the viability for a national digital currency (E-kroner) in 2016 and 2017. The critical question, Central Bank Governor Lars Rohde noted, was whether the CBDC ""should be anonymous or not.""

In its December 2017 report, the Danish Central Bank concluded that ""the potential benefits of introducing central bank digital currency for households and businesses in Denmark would not match the considerable challenges which this introduction would present."" Citing Denmark's existing secure and effective payment infrastructure, the report noted that the efficiency gains from a CBDC does not outweigh the risks of financial instability that a CBDC can lead to the risk of systemic bank runs.",2017,
Dominican Republic,Banco Central de la República Dominicana,July,2022,Research ,El Banco Central de la República Dominicana is exploring the benefits of a CBDC and the IMF stands ready to offer capacity development support. ,,,,,,,,,,,,,,,,,,,https://www.imf.org/en/Publications/CR/Issues/2022/07/08/Dominican-Republic-2022-Article-IV-Consultation-Press-Release-and-Staff-Report-520543,,,,,2022,
Eastern Caribbean Economic and Currency Union (OECS/ECCU),Eastern Caribbean Central Bank (ECCB),June,2022,Pilot,"The Eastern Caribbean Central Bank (ECCB) DCash central bank digital currency (CBDC) pilot expanded to Anguilla, and now the digital version of the EC currency is legal tender in all eight ECCB member countries. Liberty Co-operative Credit Union (LCCU) is the first financial institution in Anguilla to join the Pilot and will begin processing DCash applications for both merchant and consumer wallets for their customers. Citizens and residents who are not customers of LCCU may obtain a DCash value-based wallet by signing up through the app According to the just-released ECCB Annual Report, As at end-March, the value of DCash in circulation amounted $2.27 million, or 0.16% of the $1,407.14 million currency in circulation. More than 20 of the region’s financial institutions and 11 agencies, both groups being key channels for customer onboarding, are now participating in the pilot. Also there has seen steady increase in the merchant base. The second phase of the pilot will see the introduction of government-to-consumer (G2C) payments and an e-commerce functionality to support wider use of DCash.",DCash,Retail,Token,Bitt Inc.,Yes,Yes,,Centralized,DLT,Hyperledger Fabric,,No,Yes,Transaction limit,,Yes,,,https://www.eccb-centralbank.org/news/view/eccb-launches-dcash-in-anguilla,,,,,2022,
Eastern Caribbean Economic and Currency Union (OECS/ECCU),Eastern Caribbean Central Bank (ECCB),March,2021,Pilot,DCash pilot was launched in March 2021.,DCash,Retail,Token,Bitt Inc.,Yes,Yes,,Centralized,DLT,Hyperledger Fabric,"The main goal of DCash is to increase financial inclusion, to increase payment efficiency, and provide a resilient payment systems.",No,Yes,Transaction limit,,Yes,"Central bank can see anonymized transaction data and outstanding stock of DCash in each digital wallet. Registered financial institutions can fully observe the identity of payers and payees and the purpose of transactions (Source: John Kiff, https://theglobalfintechintelligencer.com/2021/04/12/features-of-central-bank-of-the-bahamas-sand-dollar-and-eastern-caribbean-central-bank-dcash/).",Two-tiered distribution,"https://bitcoinexchangeguide.com/eastern-caribbean-central-bank-eccb-to-trial-blockchain-based-cbdc-cryptocurrency-as-legal-money/
https://blog.bitt.com/bitt-develops-worlds-first-central-bank-digital-currency-in-a-currency-union/
https://www.eccb-centralbank.org/news/view/bitt-partners-with-eccb-to-develop-worldas-first-central-bank-digital-currency-in-a-currency-union",,,,,,
Eastern Caribbean Economic and Currency Union (OECS/ECCU),Eastern Caribbean Central Bank (ECCB),March,2019,Pilot,"The ECCB poised to embark on the DXCD pilot from March 2019. The pilot will be executed in two phases: development and testing, for about twelve months, followed by rollout and implementation in pilot countries for about six months. As part of pilot implementation, the ECCB will ramp up its sensitisation and education initiatives to facilitate active public engagement throughout all member countries.",DCash,Retail,Token,Bitt Inc.,Yes,Yes,"The ECCB will issue guidelines to pilot participants, which include consumers, merchants and financial institutions. These guidelines will establish the objectives and terms and conditions to be observed during the pilot.",Centralized,DLT,,,,,,,,,,https://www.ledgerinsights.com/overstock-medici-digital-currency-bitt/,,,,,,
Eastern Caribbean Economic and Currency Union (OECS/ECCU),Eastern Caribbean Central Bank (ECCB),January,2017,Research,CBDC was part of the ECCB's Strategic Plan 2017-2021 which aims to help reduce cash usage within the ECCU by 50%.,DCash,Retail,Token,Bitt Inc.,Yes,Yes,,,DLT,,,,,,,,,,,,,,,2017,
Ecuador,Central Bank of Ecuador,May,2017,Cancelled,"The dinero electronico project began in 2014 hoping to promote financial inclusion by banking the unbanked while saving money from antiquated cash management practices. Ultimately, no one trusted the money since the Central Bank of Ecuador has previously defaulted before. Private money solutions or cold hard was simply more trustworthy than its digital counterpart. The dinero electronico was decommissioned in 2017.",Dinero electronico,Retail,Account,Mobile Money,,,,,Non-DLT,,"Electronic money will not only help the poor, he added, but will act as a cost-saving mechanism for the government: Ecuador spends more than $3 million every year to exchange deteriorating old notes for new dollars.",,,,,,,,"https://cointelegraph.com/news/state-issued-digital-currencies-the-countries-which-adopted-rejected-or-researched-the-concept
https://www.alt-m.org/2018/03/29/the-worlds-first-central-bank-electronic-money-has-come-and-gone-ecuador-2014-2018/",,,,"Ecuador was the first country to issue a digital currency (the so-called dinero electronico, or DE) in 2014. Widely mistrusted by citizens, the DE accounted for less than .003% of currency in circulation in 2016 and was abolished by the National Assembly in December 2017.",2017,
Ecuador,Central Bank of Ecuador,,2014,Research,The dinero electronico project began in 2014 hoping to promote financial inclusion by banking the unbanked while saving money from antiquated cash management practices - later cancelled.,Dinero electronico,Retail,Account,,,,,,Non-DLT,,,,,,,,,,https://www.bce.fin.ec/index.php/boletines-de-prensa-archivo/item/769-produbanco-grupo-prom%C3%A9rica-suscribe-acuerdo-para-sumar-1197-puntos-de-servicio-financiero-al-sistema-de-dinero-electr%C3%B3nico,,,,,2017,
Egypt,The central bank of Egypt (CBE),December,2018,Research,Began exploring the value of a CBDC in December 2018.The central bank of Egypt (CBE) says that a CBDC can help keep issuance and transaction costs to a minimum compared to banknotes.,,Retail,,,,,,,,,The central bank of Egypt (CBE) says that a CBDC can help keep issuance and transaction costs to a minimum compared to banknotes.,,,,,,,,https://medium.com/security-token-group/list-of-all-central-bank-digital-currency-and-stablecoin-initiatives-1bb6f6d61ea3,,,,The central bank of Egypt (CBE) announced that it exploring the value of a CBDC in December 2018. No further updates have been made since this announcement.,2018,
Eswatini,Central Bank of Eswatini,October,2022,Research,The Central Bank of Eswatini (formerly Swaziland) will partner with international technology group Giesecke+Devrient (G+D) to research and explore the development of a Central Bank Digital Currency (CBDC) – an electronic form of money for the Kingdom of Eswatini. Both parties signed an agreement to this effect at last week’s annual meeting of the International Monetary Fund and the World Bank Group in Washington D.C.,E-lilangeni,Retail,,Giesecke+Devrient (G+D),,,,,Non-DLT,Filia,"The project will enable the Central Bank of Eswatini to make decisions about the implementation of a CBDC in Eswatini. It is envisaged that at the end of the project, the central bank will understand whether, and how, a CBDC could provide additional benefits and ensure continued access to central bank money, contributing to the development of the country’s diverse and resilient payment system.",,,,,,,,https://www.gi-de.com/en/group/press/press-releases/eswatini-partners-with-giesecke-devrient-to-explore-central-bank-digital-currency?utm_source=linkedin&utm_medium=organic_social&utm_campaign=press-release&utm_term=eswatini&utm_content=ct,,,,,2022,
Eswatini,Central Bank of Eswatini,January,2019,Research,"In 2019, the Central Bank of Eswatini in collaboration with Cenfri conducted the first phase of a four-phase diagnostic study to investigate possible use cases for the implementation of central bank digital currency in Eswatini.",E-lilangeni,Retail,,,,,,,,,The study sought to understand the value that a CBDC would contribute to the Eswatini financial system and whether further exploration of CBDC and potentially conducting pilot-testing would be justified.,,,,,,,,https://www.centralbank.org.sz/fintech/cbdc/,,,,The findings of the first phase of the study indicate that there are at least three potential use cases that motivate further exploration of CBDC to determine whether Eswatini satisfies key prerequisites for launching a CBDC that would benefit the Eswatini economy.,2019,
Euro Area,European Central Bank,April,2023,Research,"The European Central Bank (ECB) announced that the Eurosystem will look into how wholesale financial transactions recorded on distributed ledger technology (DLT) platforms could be settled in central bank money (i.e., wholesale central bank digital currency (CBDC)). The purpose of this initiative is to (i) consolidate and further develop the ongoing work of Eurosystem central banks in this area, and (ii) gain insight into how different solutions could facilitate interaction between TARGET real-time gross settlement (RTGS) services and DLT platforms.",Wholesale Digital Euro,Wholesale,Token,,,,,,DLT,,,,,,,,,,https://www.ecb.europa.eu/press/pr/date/2023/html/ecb.pr230428~6a59f44e41.en.html,,,,,2023,
Euro Area,European Central Bank,April,2023,Research,"The European Central Bank (ECB) published the 3rd progress report on the digital euro, as well as the findings of focus groups on people’s views on the features of a potential digital wallet. The digital euro will be potentially available initially to euro area residents, merchants and governments, it could be made available via existing banking apps and a Eurosystem app, and offline and person-to-person payments were seen as highly valued.",Retail Digital Euro,Retail,,,,,,,,,A digital euro could support the Eurosystem's objectives by providing citizens with access to a safe form of money in the fast-changing digital world.,,,,,,,,https://www.ecb.europa.eu/press/pr/date/2023/html/ecb.pr230424_1~395626f0d9.en.html,https://www.ecb.europa.eu/paym/digital_euro/investigation/governance/shared/files/ecb.degov230424_progress.en.pdf,,,,2023,
Euro Area,European Central Bank,March,2023,Research,"The European Central Bank (ECB) published a presentation on the digital euro compensation model. The digital euro is seen as a public good and should be free for basic use by private individuals, but there  should be economic incentives for payment service providers (PSPs) to distribute the digital euro in order to generate network effects. PSPs will be allowed to charge merchants, as with cash and other payment methods today, and such fees could be determined by market forces. However, legislation might establish an expectation on merchant pricing.",Retail Digital Euro,Retail,,,,,,,,,A digital euro could support the Eurosystem's objectives by providing citizens with access to a safe form of money in the fast-changing digital world.,,,,,,,,https://www.ecb.europa.eu/paym/digital_euro/investigation/governance/shared/files/ecb.degov230222_item4compensationmodel.en.pdf,,,,,2023,
Euro Area,European Central Bank,January,2023,Research,The ECB/Eurosystem is inviting payments/finance experts to express their interest in contributing to the drafting of a rulebook for a digital euro scheme. Applicants will need to be nominated by a relevant European stakeholder association representing key players in the European retail payments market. Candidates will be selected based on their managerial experience in retail payments and the skills required for the role.,Retail Digital Euro,Retail,,,,,,,,,A digital euro could support the Eurosystem's objectives by providing citizens with access to a safe form of money in the fast-changing digital world.,,,,,,,,"https://www.ecb.europa.eu/paym/intro/news/html/ecb.mipnews230103.en.html 
",,,,,2023,
Euro Area,European Central Bank,December,2022,Research,"The European Central Bank (ECB) published the second progress report on the investigation phase of a digital euro. It outlines the developments made since the first progress report, which was published in September 2022. The report details a second set of design and distribution options that were recently endorsed by the Governing Council and describes the roles of the Eurosystem and supervised intermediaries in the digital euro ecosystem. In 2023 the ECB will further assess a number of design and distribution options and in the second half of the year present the overall design of a digital euro to the Governing Council. ",Retail Digital Euro,Retail,,,,,,,,,A digital euro could support the Eurosystem's objectives by providing citizens with access to a safe form of money in the fast-changing digital world.,,,,,,,,https://www.ecb.europa.eu/paym/intro/news/html/ecb.mipnews221221.en.html,https://www.ecb.europa.eu/paym/digital_euro/investigation/governance/shared/files/ecb.degov221221_Progress.en.pdf?f91e0b8ff8cbd6654d7e6b071a8f7071,,,,2022,
Euro Area,European Central Bank,December,2022,Research,"The European Central Bank (ECB) will be running a digital euro prototyping exercise to allow market participants to develop front-end prototypes that can be integrated with the back-end infrastructure developed by the Eurosystem. The documents were provided to the five companies that were selected to carry out the experimental work (CaixaBank (peer-to-peer online payments), Worldline (peer-to-peer offline payments), EPI (point of sale payments initiated by the payer), Nexi (point of sale payments initiated by the payee), and Amazon (e-commerce payments)). The material published provides the information needed by any market participant to develop front-end prototypes compatible with the Eurosystem’s back-end infrastructure, without restricting participants’ potential to innovate. The prototyping exercise is expected to be completed in the first quarter of 2023.",Retail Digital Euro,Retail,,,,,,,,,A digital euro could support the Eurosystem's objectives by providing citizens with access to a safe form of money in the fast-changing digital world.,,,,,,,,"https://www.ecb.europa.eu/paym/intro/news/html/ecb.mipnews221207.en.html
https://www.ecb.europa.eu/paym/digital_euro/investigation/profuse/shared/files/dedocs/ecb.dedocs221207_annex1_front_end_prototype_providers_technical_onboarding_package.en.pdf?96894d1ebc6c998d75233c57bf1c66eb ",,,,,2022,
Euro Area,European Central Bank,October,2022,Research,"The European Central Bank (ECB) provided a status report on its central bank digital currency (CBDC) work. It confirmed that a digital euro would incorporate individual user holding limits to slow the possible conversion of bank deposits into digital euro (disintermediation risk). A digital euro would also bear interest calibrated to make digital holdings above a certain threshold unattractive compared to other highly liquid low-risk assets. Offline payments will only be allowed for low value, low risk, close proximity transactions.In addition, ECB board member Fabio Panetta set out a plan for a digital euro scheme involving a set of rules, practices and standards with plans to start working on a rulebook.",Retail Digital Euro,Retail,,,,,,,,,A digital euro could support the Eurosystem's objectives by providing citizens with access to a safe form of money in the fast-changing digital world.,,,,,,,,"https://www.ecb.europa.eu/press/key/date/2022/html/ecb.sp220929~91a3775a2a.en.html
https://www.ecb.europa.eu/paym/digital_euro/investigation/governance/shared/files/ecb.degov220929.en.pdf?c7289d0032238188c71a4803112ea552 ",,,,,2022,
Euro Area,European Central Bank,October,2022,Research,"According to European Central Bank (ECB) executive board member Fabio Panetta, the ECB is looking at the potential of DLT in improving the efficiency of interbank settlements. However, after listing the many benefits of DLT, Panetta highlighted some drawbacks, and made a case for a system that builds on the ECB’s existing infrastructure for wholesale settlements, instead of building a new one based entirely on DLT.",Wholesale Digital Euro,Wholesale,Token,,,,,,,,,,,,,,,,https://www.ecb.europa.eu//press/key/date/2022/html/ecb.sp220926~5f9b85685a.en.html ,,,,,2022,
Euro Area,European Central Bank,October,2020,Research,"In October 2020, the European Central Bank (ECB) published a comprehensive report on the possible issuance of a digital euro, prepared by the Eurosystem High-Level Task Force on central bank digital currency (CBDC) and approved by the Governing Council. In July 2021, the ECB announced the start of a digital euro project. In the beginning, an investigation phase will be launched that takes until the end of 2023.",Retail Digital Euro,Retail,,,,,,,,,A digital euro could support the Eurosystem's objectives by providing citizens with access to a safe form of money in the fast-changing digital world.,,,,,,,,"https://www.ecb.europa.eu/pub/pdf/other/Report_on_a_digital_euro~4d7268b458.en.pdf
https://www.ecb.europa.eu/press/pr/date/2021/html/ecb.pr210714~d99198ea23.en.html",,,,"A digital euro would create synergies with private payment solutions and contribute to a more innovative, competitive and resilient European payment system. By serving as a unifying force in Europe's digital economies, a digital euro would also be an emblem of the ongoing process of European integration.",2020,
Euro Area,European Central Bank,December,2016,Research,"Project Stella is a joint research project conducted by the European Central Bank and Bank of Japan to explore the opportunity for DLT to support financial market infrastructure, payments, and securities settlement.
- Split over 4 Phases, phase 1 used distributed ledger technology (DLT) to process large-scale payments; phase 2, tested securities settlement in a DLT setting; phase 3, applied DLT-related technologies to improve cross-border payment efficiency; and phase 4 focused on the confidentiality and auditability of settlement assets, such as CBDC, in a DLT environment.",Stella,Other,Token,R3 Corda,,,,,DLT,,It explores the opportunity for using DLT to improve financial market infrastructure to support payment and securities settlement.,,,,,Yes,,,"https://www.boj.or.jp/en/announcements/release_2020/data/rel201009e1.pdf
https://www.boj.or.jp/en/announcements/release_2020/data/rel200212a1.pdf
https://www.tbstat.com/wp/uploads/2020/08/KPMG-CBDC-Report.FINAL_.v.1.02.pdf",,,,"Project Stella is a joint research project conducted by the European Central Bank and Bank of Japan to explore the opportunity for DLT to support financial market infrastructure, payments, and securities settlement.
- Split over 4 Phases, phase 1 used distributed ledger technology (DLT) to process large-scale payments; phase 2, tested securities settlement in a DLT setting; phase 3, applied DLT-related technologies to improve cross-border payment efficiency; and phase 4 focused on the confidentiality and auditability of settlement assets, such as CBDC, in a DLT environment.",2016,
Fiji,Reserve Bank of Fiji,June,2022,Research,Fiji has started feasibility studies on CBDC.,,,,Soramitsu,,,,,,,,,,,,,,,https://www.ledgerinsights.com/philippines-vietnam-conducting-cbdc-feasibility-studies-with-soramitsu/,,,,,2022,
Finland,Bank of Finland,January,2006,Cancelled,"Avant was launched in 1993, and discontinued in 2006. It was never very popular, because it was annoying and expensive to use - and plain debit cards were just better",Avant,Retail,,Toimiraha,,,,,,,,,,,,,,,,,,,,1993,
Finland,Bank of Finland,January,1993,Launched,"Avant was launched in 1993, and discontinued in 2006.",Avant,Retail,Account,Toimiraha,,,,,Non-DLT,,"Avant's ambition was to set up a single national electronic purse system - the commercial banks would bring their customer bases, and their ATM networks. The Bank of Finland expected that Avant would take over from coins for small purchases.",,,,,,,,https://helda.helsinki.fi/bof/bitstream/handle/123456789/17590/BoFER_8_2020.pdf,,,,"The Avant smart card system created by the Bank of Finland in the 1990's can be considered the world's first CBDC and the only one so far that has gone into production. Avant cards were based on smart card technology similar to that used in debit and credit cards today. Even though the system was initiated, developed, and for the first few years operated by the central bank, it was eventually spun off and sold to commercial banks. Once debit cards became less expensive and were upgraded to use smart card technology, Avant became obsolete and was shut down",1993,
France,Banque de France,December,2022,Pilot,"The Banque de France in partnership with HSBC and IBM demonstrated the use of a wholesale CBDC to enable transactions across borders and technology platforms whilst facilitating the lifecycle of digital assets and currencies in wholesale markets. A combined proof of concept tested the issuance and distribution of a CBDC, bond subscription in primary and secondary markets followed by coupon redemption, and execution of cross border and cross network payments. It proved that each transaction flowed correctly through the network of systems, automatically triggering the required events, whilst retaining visibility and control over the CBDC in circulation.",France wholesale CBDC,Wholesale ,Token ,IBM ,,,,,DLT ,DL3S ,,,,,,,,,https://www.gbm.hsbc.com/en-gb/feed/innovation-and-transformation/the-interoperability-of-cbdcs-across-networks-and-currencies,,,,,2022,
France ,Banque de France,October,2022,Pilot,"The Banque de France announced two new wholesale CBDC projects. The first will look at improving CBDC market liquidity management in decentralized finance (DeFi), such as via automated market makers. The second will focus on issuing and distributing tokenized bonds on a blockchain.",France wholesale CBDC,Wholesale,Token,IBM,,,,,DLT,DL3S,The objective of the experiment is to issue cross-border payments in a test environment to study the interoperability between different distributed ledger technologies (DLTs) and existing payment systems. These payments will be made in simulated CBDC issued by the participating central banks.,,,,,,,,"https://blockchain.news/news/france-cbdc-projects-to-manage-defi-liquiditysettle-tokenized-assets
https://www.banque-france.fr/en/intervention/anchors-and-catalysts-central-banks-dual-role-innovation",,,,,2022,
France,Banque de France,June,2022,Pilot,"The Banque de France (BdF) has kicked off the second phase of experimentation into a wholesale CBDC, with an eye towards being ready to introduce central bank money as a settlement asset as early as 2023, with the implementation of the European pilot regime.Over the past year, the central bank has successfully completed the first phase of its experimentation program, comprising nine experiments with the private sector and with other public actors, with a focus on cross-border payments and tokenized securities settlement. Now, the BdF wants to get closer to a viable prototype, testing it in practice with more private actors and more foreign central banks in the second half of 2022 and in 2023.",,Wholesale,Token,IBM,,,,,DLT,DL3S,,,,,,,,,https://www.banque-france.fr/en/intervention/cbdc-and-bank-intermediation-digital-age,,,,,2022,
France,Banque de France,December,2021,Pilot,"The Banque de France successfully completed the last experiment of its programme for interbank settlements in Wholesale Central Bank Digital Currency (CBDC), launched in March 2020. This final experiment was jointly conducted with a group of private actors led by HSBC.

The experiment consisted of the issuance of a digital bond on a blockchain and its subscription with a settlement in CBDC. The experiment successfully tested an end-to-end transactional lifecycle of digital assets, through issuance, subscription by several actors, and coupon payment involving a conversion into another currency. All those transactions occurred across different blockchain environments operated by HSBC for the custody of the assets, and by the Banque de France for the securities settlement and the CBDC.",,Wholesale,Token,IBM,,,,,DLT,,"To check the Interoperability across platforms, which  is a key element to maximize the benefits of the distributed ledger technology applied to financial markets. By achieving the transfer of data and assets, as well as the exchange of assets across different blockchains in an atomic way, the Banque de France and HSBC have demonstrated the possibility of such interoperability, essential to ensure that the multiple environments, on which the efficient functioning of markets rely, can coexist.",,,,,,,,https://www.banque-france.fr/en/communique-de-presse/banque-de-france-has-successfully-completed-first-tranche-its-experimentation-programme-central-bank,,,,,2021,
France,Banque de France,June,2021,Pilot,"On 18th and 25th June 2021, the Banque de France successfully carried out the fifth experiment on central bank digital currency (CBDC) with a consortium of actors driven by LiquidShare as part of the experimental program launched in March 2020.

The experiment involved the simulation on a private blockchain of the issuance and settlement of unlisted securities and of the settlement of listed securities. Settlements of securities were simulated by central bank digital currency issued on the blockchain. The experiment required the development and deployment of smart contracts so that the Banque de France could issue and control the circulation of CBDC tokens while ensuring that each transfer takes place simultaneously with the delivery of the securities.",,Wholesale,Token,,,,,,DLT,,"To test the integration of issuance and settlement activities, including exchanges on the secondary market. It served the discussions that the Banque de France is conducting on the tokenisation of financial assets",,,,,,,,https://www.banque-france.fr/en/communique-de-presse/banque-de-france-conducts-successful-experiment-use-central-bank-digital-money-consortium-actors,,,,,2021,
France,Banque de France,June,2021,Pilot,"The Banque de France successfully conducted between 21st and 24th of June a Central Bank Digital Currency (CBDC) experiment with a group of economic players driven by Euroclear, as part of the experimental programme launched in March 2020.",,Wholesale,Token,,,,,,DLT,,"To test financial optimisation on a blockchain with Repo operations, as well of the synchronisation of collateral operations between the blockchain and the European platform for securities settlement Target 2 Securities",,,,,,,,https://www.banque-france.fr/en/communique-de-presse/banque-de-france-conducts-new-central-bank-digital-currency-experiment-0,,,,,2021,
France,Banque de France,June,2021,Pilot,"On 18 June 2021, Banque de France successfully conducted a Central Bank Digital Currency (CBDC) experiment with SEBA Bank, as part of the experimental program launched in March 2020.",,Wholesale,Token,,,,,,DLT,,To demonstrate the possibilities of interaction between conventional and distributed infrastructures,,,,,,,,https://www.banque-france.fr/en/communique-de-presse/banque-de-france-conducts-new-central-bank-digital-currency-experiment,,,,,2021,
France,Banque de France,April,2021,Pilot,"In partnership with the European Investment Bank (EIB) and Société Générale - FORGE, the Banque de France successfully carried out on April 28th an experiment on the use of Central Bank Digital Currency (CBDC) for settling digital bonds issued by the EIB on a blockchain.",,Wholesale,Token,,Yes,,,,DLT,,To study the benefits that interbank CBDC could provide in the context of the digitization of payments,,,,EUR 100 Mn,,,,https://www.banque-france.fr/en/communique-de-presse/experiment-use-central-bank-digital-currency-cbdc,,,,This was the third experiment conducted as part of the CBDC for interbank settlement work program launched by Banque de France in mid-2020,2021,
France,Banque de France,December,2020,Pilot,"On 17 December 2020, the Banque de France successfully carried out an experiment on central bank digital currency (CBDC) with IZNES as part of the experimental programme launched in March.",France CBDC,Wholesale,Token,IZNES,Yes,No,,,DLT,,The project began as a proof-of-concept in June 2016 to learn more about DLT with a simple use case.,,,,,,,,"https://www.banque-france.fr/en/communique-de-presse/banque-de-france-press-release-20-july-2020
https://www.banque-france.fr/sites/default/files/medias/documents/experimentation_mnbc_iznes_19.01.2020_en.pdf
https://www.banque-france.fr/sites/default/files/media/2020/03/30/fact_sheet_-_central_bank_digital_currency_30_march_2020.pdf
https://cointelegraph.com/news/frances-cbdc-test-moves-digital-euro-one-step-closer-to-reality
https://cointelegraph.com/news/bank-of-france-launches-experiment-program-on-central-bank-digital-currency
https://finadium.com/wef-how-are-central-banks-exploring-blockchain-tech/",,,,"On 17 December 2020, the Banque de France successfully carried out an experiment on central bank digital currency (CBDC) with IZNES as part of the experimental programme launched in March. The experiment was carried out in collaboration with IZNES, SETL, CACEIS, CITIGROUP, GROUPAMA AM, OFI AM and DXC. The Bank of France has selected eight applicants to experiment with the use of a digital euro (Madre) for interbank settlements in July 2020. The test is experimental and will not be used commercially, but it intends to investigate a digital euro system.",2019,
France,Banque de France,April,2019,Research,Started research,France CBDC,Wholesale,Token,IZNES,Yes,No,,,,,,,,,,,,,,,,,,2019,
France & Luxembourgh,Banque de France and the Banque centrale du Luxembourgh,Decemeber,2022,Pilot,"The European Investment Bank (EIB) launched Project Venus, their second euro-denominated digitally native bond issue and first using private blockchain technology. The €100 million, two-year bond was issued, recorded and settled using private blockchain-based technology on Goldman Sachs’ GS DAPTM tokenization platform. Although investors purchased and paid for the security tokens using traditional currency, the transactions were settled in wholesale CBDC issued by the Banque de France and the Banque Centrale du Luxembourg. Société Générale Security Securities Services (SGSS Luxembourg) provided on-chain custodian services.",Project Venus ,Wholesale,,,,,,,,,The Banque de France and the Banque centrale du Luxembourg are proposing one possible cross-border answer to the growing interest from the market to perform digital native securities settlements with CBDC.,,,,,,,,https://www.banque-france.fr/en/communique-de-presse/banque-de-france-and-banque-centrale-du-luxembourg-jointly-conducted-successful-wholesale-central,,,,,2022,
France & Singapore,Banque de France (BdF) and the Monetary Authority of Singapore (MAS),July,2021,Pilot,The Banque de France (BdF) and the Monetary Authority of Singapore (MAS)  announced the successful completion of a wholesale cross-border payment and settlement experiment using central bank digital currency (CBDC),,Wholesale,,Quorum,,,,,,,"This experiment is one of the last of the Banque de France wholesale experiment program, which will be achieved by fall 2021, and is the first m-CBDC experiment that applied automated market making and liquidity management capabilities to reap cross-border payment and settlement efficiencies. ",,,,,,,,https://www.banque-france.fr/en/communique-de-presse/banque-de-france-and-monetary-authority-singapore-break-new-ground-cbdc-experimentation-0,,,,"The experiment simulated cross-border and cross-currency transactions for Singapore Dollar (SGD) CBDC and Euro (EUR) CBDC, and was conducted using a permissioned, privacy-enabled blockchain based on Quorum technology",2021,
France & Switzerland,"Swiss National Bank, Bank of France and Bank for International Settlements",June ,2021,Research,"The BIS Innovation Hub, the Bank of France and the Swiss National Bank today announced that, together with a private sector consortium led by Accenture, they will conduct an experiment using wCBDC for cross-border settlement. The private sector consortium includes Credit Suisse, Natixis, R3, SIX Digital Exchange and UBS. Known as Project Jura, the experiment will explore cross-border settlement with two wCBDCs and a French digital financial instrument on a  distributed ledger technology (DLT) platform. It will involve the exchange of the financial instrument against a euro wCBDC through a delivery versus payment (DvP) settlement mechanism and the exchange of a  euro wCBDC against a Swiss franc wCBDC through a payment versus payment  (PvP) settlement mechanism. These transactions will be settled between banks domiciled in France and in Switzerland, respectively.",Jura,Wholesale,Token,R3 Corda,Yes,,,,DLT,,The main goal of the project is to explore how wholesale CBDCs can increase efficiency for cross-border payments and for security settlement.,,,,,,,,https://www.bis.org/press/p210610a.htm,https://www.bis.org/press/p211208.htm,,,Project Jura explored settlement of tokenised euro commercial paper and foreign exchange transactions. Tests were conducted in a near real-life setting and met current regulatory requirements. Jura studied a new approach for central banks to allow access to central bank digital currencies (CBDCs) for regulated non-resident financial institutions.,2021,
